matchID,matchNumber,season,matchStartDate,city,tossWon,tossDecision,isSuperOver,team1,team2,teamWon,wonByWickets,wonByRuns,playerOfMatch,team1Score,team1Wickets,team1Fours,team1Sixes,team1Extras,team2Score,team2Wickets,team2Fours,team2Sixes,team2Extras
648026d390817dd7adc7470a,1,2017,2017-04-05,Hyderabad,Royal Challengers Bangalore,field,0,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,,35,Yuvraj Singh,207,4,17,9,7,172,10,15,8,6
648026d3f789acc1f5f3d4ad,2,2017,2017-04-06,Pune,Rising Pune Supergiants,field,0,Rising Pune Supergiants,Mumbai Indians,Rising Pune Supergiants,7,,SPD Smith,184,8,12,11,8,187,3,18,6,4
648026d3a7d05cd7951e9234,3,2017,2017-04-07,Rajkot,Kolkata Knight Riders,field,0,Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders,10,,CA Lynn,183,4,20,6,4,184,0,18,8,15
648026d39fe9c9cccf70d924,4,2017,2017-04-08,Indore,Kings XI Punjab,field,0,Kings XI Punjab,Rising Pune Supergiants,Kings XI Punjab,6,,GJ Maxwell,163,6,11,7,6,164,4,10,9,10
648026d377ee4f6f9399f348,5,2017,2017-04-08,Bengaluru,Royal Challengers Bangalore,bat,0,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,,15,KM Jadhav,157,8,14,7,6,142,9,10,5,5
648026d3debe9c577ea18fe2,6,2017,2017-04-09,Hyderabad,Sunrisers Hyderabad,field,0,Sunrisers Hyderabad,Gujarat Lions,Sunrisers Hyderabad,9,,Rashid Khan,135,7,11,2,3,140,1,12,5,3
648026d38e281c38861d9351,7,2017,2017-04-09,Mumbai,Mumbai Indians,field,0,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,4,,N Rana,178,7,14,6,9,180,6,15,9,12
648026d312c5e14a5489d107,8,2017,2017-04-10,Indore,Royal Challengers Bangalore,bat,0,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,8,,AR Patel,148,4,6,11,4,150,2,11,9,6
648026d399293ff15905c238,9,2017,2017-04-11,Pune,Rising Pune Supergiants,field,0,Rising Pune Supergiants,Delhi Capitals,Delhi Capitals,,97,SV Samson,205,4,17,10,8,108,10,7,4,5
648026d3349e84b29ad00c63,10,2017,2017-04-12,Mumbai,Mumbai Indians,field,0,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,4,,JJ Bumrah,158,8,18,3,11,159,6,16,6,4
648026d4959d4276e7b45344,11,2017,2017-04-13,Kolkata,Kolkata Knight Riders,field,0,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,8,,SP Narine,170,9,17,6,16,171,2,20,5,11
648026d4ca5df5a522c5ccc2,12,2017,2017-04-14,Bangalore,Mumbai Indians,field,0,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,4,,KA Pollard,142,5,7,4,11,145,6,7,7,13
648026d414ae454664015c03,13,2017,2017-04-14,Rajkot,Gujarat Lions,field,0,Gujarat Lions,Rising Pune Supergiants,Gujarat Lions,7,,AJ Tye,171,8,15,6,5,172,3,20,7,5
648026d41f06877f0c983e3a,14,2017,2017-04-15,Kolkata,Sunrisers Hyderabad,field,0,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,,17,RV Uthappa,172,6,13,7,11,155,6,16,5,7
648026d484f2b3a398a4e292,15,2017,2017-04-15,Delhi,Delhi Capitals,bat,0,Delhi Capitals,Kings XI Punjab,Delhi Capitals,,51,CJ Anderson,188,6,23,5,10,137,9,11,3,2
648026d4b9529e3c04b0b07b,16,2017,2017-04-16,Mumbai,Mumbai Indians,field,0,Mumbai Indians,Gujarat Lions,Mumbai Indians,6,,N Rana,176,4,12,6,11,177,4,11,8,13
648026d4dfd81a9c585959f5,17,2017,2017-04-16,Bangalore,Royal Challengers Bangalore,field,0,Royal Challengers Bangalore,Rising Pune Supergiants,Rising Pune Supergiants,,27,BA Stokes,161,8,17,4,13,134,9,7,5,8
648026d4ee839018a1adde8a,18,2017,2017-04-17,Delhi,Delhi Capitals,bat,0,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,4,,NM Coulter-Nile,168,7,19,4,3,169,6,13,5,11
648026d42457a591379e9d2f,19,2017,2017-04-17,Hyderabad,Kings XI Punjab,field,0,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,,5,B Kumar,159,6,11,4,11,154,10,11,7,10
648026d45c122fcdf1f28163,20,2017,2017-04-18,Rajkot,Gujarat Lions,field,0,Gujarat Lions,Royal Challengers Bangalore,Royal Challengers Bangalore,,21,CH Gayle,213,2,19,11,4,192,7,10,14,8
648026d477a9a7a2001ae466,21,2017,2017-04-19,Hyderabad,Sunrisers Hyderabad,bat,0,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,,15,KS Williamson,191,4,15,7,4,176,5,18,6,7
648026d4a9ea2dfbf4259e00,22,2017,2017-04-20,Indore,Mumbai Indians,field,0,Kings XI Punjab,Mumbai Indians,Mumbai Indians,8,,JC Buttler,198,4,17,9,12,199,2,13,15,8
648026d4a82b82cfa7635162,23,2017,2017-04-21,Kolkata,Gujarat Lions,field,0,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,4,,SK Raina,187,5,23,4,3,188,6,20,8,5
648026d4b66b12a652cef2d1,25,2017,2017-04-22,Mumbai,Delhi Capitals,field,0,Mumbai Indians,Delhi Capitals,Mumbai Indians,,14,MJ McClenaghan,142,8,11,4,16,128,7,12,2,8
648026d479626c707b5765d8,24,2017,2017-04-22,Pune,Rising Pune Supergiants,field,0,Rising Pune Supergiants,Sunrisers Hyderabad,Rising Pune Supergiants,6,,MS Dhoni,176,3,17,5,8,179,4,16,8,3
648026d4392b92821e3ddbb8,26,2017,2017-04-23,Rajkot,Gujarat Lions,field,0,Gujarat Lions,Kings XI Punjab,Kings XI Punjab,,26,HM Amla,188,7,17,9,5,162,7,16,2,7
648026d46690c3525f879b52,27,2017,2017-04-23,Kolkata,Royal Challengers Bangalore,field,0,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,,82,NM Coulter-Nile,131,10,14,2,8,49,10,8,0,7
648026d4b32de13dfe405d84,28,2017,2017-04-24,Mumbai,Mumbai Indians,field,0,Mumbai Indians,Rising Pune Supergiants,Rising Pune Supergiants,,3,BA Stokes,160,6,17,3,4,157,8,16,5,6
648026d449270bb4c2ccae80,30,2017,2017-04-26,Pune,Kolkata Knight Riders,field,0,Rising Pune Supergiants,Kolkata Knight Riders,Kolkata Knight Riders,7,,RV Uthappa,182,5,16,6,7,184,3,17,7,13
648026d49e45d86d171b17ae,31,2017,2017-04-27,Bangalore,Gujarat Lions,field,0,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,7,,AJ Tye,134,10,9,4,12,135,3,13,7,8
648026d46ba46706abcee367,32,2017,2017-04-28,Kolkata,Kolkata Knight Riders,field,0,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,7,,G Gambhir,160,6,14,4,7,161,3,20,4,10
648026d412457a70b491d2fe,33,2017,2017-04-28,Chandigarh,Kings XI Punjab,field,0,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,,26,Rashid Khan,207,3,19,7,3,181,9,25,4,5
648026d41887deb9a7a62a2c,34,2017,2017-04-29,Pune,Royal Challengers Bangalore,field,0,Rising Pune Supergiants,Royal Challengers Bangalore,Rising Pune Supergiants,,61,LH Ferguson,157,3,14,4,4,96,9,6,1,4
648026d463e54209719ea66b,35,2017,2017-04-29,Rajkot,Gujarat Lions,bat,2,Gujarat Lions,Mumbai Indians,Mumbai Indians,,,KH Pandya,153,9,13,6,11,153,10,16,3,1
648026d415725615c631f658,36,2017,2017-04-30,Chandigarh,Kings XI Punjab,field,0,Kings XI Punjab,Delhi Capitals,Kings XI Punjab,10,,Sandeep Sharma,67,10,3,2,5,68,0,7,3,2
648026d45563e2ccf501a4aa,37,2017,2017-04-30,Hyderabad,Kolkata Knight Riders,field,0,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,,48,DA Warner,209,3,17,9,8,161,7,12,5,5
648026d4fb1a0fa87873655a,38,2017,2017-05-01,Mumbai,Royal Challengers Bangalore,bat,0,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,5,,RG Sharma,162,8,10,8,4,165,6,17,3,7
648026d4a5e6c0246546f7de,39,2017,2017-05-01,Pune,Rising Pune Supergiants,field,0,Rising Pune Supergiants,Gujarat Lions,Rising Pune Supergiants,5,,BA Stokes,161,10,15,5,7,167,5,12,8,7
648026d4117f0ae0e790c841,40,2017,2017-05-02,Delhi,Delhi Capitals,field,0,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,6,,Mohammed Shami,185,3,22,4,8,189,4,15,10,3
648026d480e920b5b548b14c,41,2017,2017-05-03,Kolkata,Rising Pune Supergiants,field,0,Kolkata Knight Riders,Rising Pune Supergiants,Rising Pune Supergiants,4,,RA Tripathi,155,8,14,7,5,158,6,13,9,8
648026d44fbbf908a39e4e9e,42,2017,2017-05-04,Delhi,Delhi Capitals,field,0,Delhi Capitals,Gujarat Lions,Delhi Capitals,7,,RR Pant,208,7,16,11,5,214,3,8,20,12
648026d413e026137d06da6d,43,2017,2017-05-05,Bangalore,Royal Challengers Bangalore,field,0,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,,19,Sandeep Sharma,138,7,11,3,12,119,10,10,3,7
648026d47bf7f2e039bc987f,44,2017,2017-05-06,Hyderabad,Sunrisers Hyderabad,field,0,Sunrisers Hyderabad,Rising Pune Supergiants,Rising Pune Supergiants,,12,JD Unadkat,148,8,5,6,7,136,9,11,5,2
648026d4b224d63bffff828c,45,2017,2017-05-06,Delhi,Delhi Capitals,field,0,Delhi Capitals,Mumbai Indians,Mumbai Indians,,146,LMP Simmons,212,3,15,11,19,66,10,5,3,3
648026d4686521973f02371a,46,2017,2017-05-07,Bangalore,Kolkata Knight Riders,field,0,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,6,,SP Narine,158,6,11,6,3,159,4,12,10,6
648026d46995d5c2677d5d72,47,2017,2017-05-07,Chandigarh,Gujarat Lions,field,0,Kings XI Punjab,Gujarat Lions,Gujarat Lions,6,,DR Smith,189,3,14,7,3,192,4,17,6,6
648026d48a1bce16f2237824,48,2017,2017-05-08,Hyderabad,Mumbai Indians,bat,0,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,7,,S Dhawan,138,7,10,3,10,140,3,13,2,4
648026d4092503a376d1ad23,49,2017,2017-05-09,Chandigarh,Kolkata Knight Riders,field,0,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,,14,MM Sharma,167,6,13,5,12,153,6,14,4,4
648026d4075011308a924990,50,2017,2017-05-10,Kanpur,Delhi Capitals,field,0,Gujarat Lions,Delhi Capitals,Delhi Capitals,2,,SS Iyer,195,5,20,6,11,197,8,31,4,3
648026d4ffd43479dc261bfc,51,2017,2017-05-11,Mumbai,Mumbai Indians,field,0,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,,7,WP Saha,230,3,18,12,10,223,6,18,14,8
648026d4ee09047ccbf95ca4,52,2017,2017-05-12,Delhi,Delhi Capitals,bat,0,Delhi Capitals,Rising Pune Supergiants,Delhi Capitals,,7,KK Nair,168,8,14,6,7,161,7,13,6,10
648026d43ae450f5585f172a,53,2017,2017-05-13,Kanpur,Sunrisers Hyderabad,field,0,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,8,,Mohammed Siraj,154,10,15,6,6,158,2,23,0,4
648026d48ea065d4dd576552,54,2017,2017-05-13,Kolkata,Kolkata Knight Riders,field,0,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,,9,AT Rayudu,173,5,19,5,17,164,8,14,7,8
648026d42efa58b3e1c46387,55,2017,2017-05-14,Pune,Rising Pune Supergiants,field,0,Rising Pune Supergiants,Kings XI Punjab,Rising Pune Supergiants,9,,JD Unadkat,73,10,5,2,3,78,1,5,2,1
648026d4daf7c9635e31acee,56,2017,2017-05-14,Delhi,Royal Challengers Bangalore,bat,0,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,,10,HV Patel,161,6,11,7,9,151,10,13,6,7
648026d4234bd3b0f0499413,Qualifier 1,2017,2017-05-16,Mumbai,Mumbai Indians,field,0,Mumbai Indians,Rising Pune Supergiants,Rising Pune Supergiants,,20,Washington Sundar,162,4,9,8,7,142,9,7,7,9
648026d4f0d22b98cad828dd,Eliminator,2017,2017-05-17,Bangalore,Kolkata Knight Riders,field,0,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,7,,NM Coulter-Nile,128,7,9,5,7,48,3,2,3,4
648026d4c451a0bdf72fbfc8,Qualifier 2,2017,2017-05-19,Bangalore,Mumbai Indians,field,0,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,6,,KV Sharma,107,10,8,3,7,111,4,13,1,8
648026d4308d8f85ee6360d8,Final,2017,2017-05-21,Hyderabad,Mumbai Indians,bat,0,Mumbai Indians,Rising Pune Supergiants,Mumbai Indians,,1,KH Pandya,129,8,8,5,8,128,6,9,2,9
648026d466ae4bda278d08ca,1,2018,2018-04-07,Mumbai,Chennai Super Kings,field,0,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,1,,DJ Bravo,165,4,18,5,4,169,9,11,10,7
648026d40fc96e03247c9cca,2,2018,2018-04-08,Chandigarh,Kings XI Punjab,field,0,Delhi Capitals,Kings XI Punjab,Kings XI Punjab,6,,KL Rahul,166,7,11,5,6,167,4,16,7,1
648026d4a492c23056ff4cbf,3,2018,2018-04-08,Kolkata,Kolkata Knight Riders,field,0,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,4,,SP Narine,176,7,14,10,6,177,6,15,9,13
648026d405939be97b422d13,4,2018,2018-04-09,Hyderabad,Sunrisers Hyderabad,field,0,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,9,,S Dhawan,125,9,12,0,8,127,1,17,2,8
648026d4ae01b2592e71985a,5,2018,2018-04-10,Chennai,Chennai Super Kings,field,0,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,5,,SW Billings,202,6,11,17,5,205,5,9,14,7
648026d4ef1e4feb58d18e54,6,2018,2018-04-11,Jaipur,Delhi Capitals,field,0,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,,10,SV Samson,153,5,11,6,3,60,4,7,2,3
648026d41a95aed9866bf066,7,2018,2018-04-12,Hyderabad,Sunrisers Hyderabad,field,0,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,1,,Rashid Khan,147,8,15,6,8,151,9,18,1,4
648026d457ecc3bcdd8f406e,8,2018,2018-04-13,Bengaluru,Royal Challengers Bangalore,field,0,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,4,,UT Yadav,155,10,12,6,6,159,6,16,5,4
