matchID,season,battingTeam,bowlingTeam,over,ballNo,innings,bowler,playerOut,outType,fieldersInvolved
648026d390817dd7adc7470a,2017,Sunrisers Hyderabad,Royal Challengers Bangalore,1,5,1,A Choudhary,DA Warner,caught,"[""Mandeep Singh""]"
648026d390817dd7adc7470a,2017,Sunrisers Hyderabad,Royal Challengers Bangalore,10,3,1,STR Binny,S Dhawan,caught,"[""Sachin Baby""]"
648026d390817dd7adc7470a,2017,Sunrisers Hyderabad,Royal Challengers Bangalore,15,2,1,YS Chahal,MC Henriques,caught,"[""Sachin Baby""]"
648026d390817dd7adc7470a,2017,Sunrisers Hyderabad,Royal Challengers Bangalore,18,4,1,TS Mills,Yuvraj Singh,bowled,
648026d390817dd7adc7470a,2017,Royal Challengers Bangalore,Sunrisers Hyderabad,5,4,2,Rashid Khan,Mandeep Singh,bowled,
648026d390817dd7adc7470a,2017,Royal Challengers Bangalore,Sunrisers Hyderabad,6,3,2,DJ Hooda,CH Gayle,caught,"[""DA Warner""]"
648026d390817dd7adc7470a,2017,Royal Challengers Bangalore,Sunrisers Hyderabad,11,4,2,MC Henriques,KM Jadhav,run out,"[""BCJ Cutting""]"
648026d390817dd7adc7470a,2017,Royal Challengers Bangalore,Sunrisers Hyderabad,12,5,2,Rashid Khan,TM Head,caught,"[""Yuvraj Singh""]"
648026d390817dd7adc7470a,2017,Royal Challengers Bangalore,Sunrisers Hyderabad,13,4,2,Bipul Sharma,Sachin Baby,caught,"[""MC Henriques""]"
648026d390817dd7adc7470a,2017,Royal Challengers Bangalore,Sunrisers Hyderabad,16,5,2,B Kumar,STR Binny,caught,"[""Yuvraj Singh""]"
648026d390817dd7adc7470a,2017,Royal Challengers Bangalore,Sunrisers Hyderabad,17,3,2,A Nehra,SR Watson,caught,"[""MC Henriques""]"
648026d390817dd7adc7470a,2017,Royal Challengers Bangalore,Sunrisers Hyderabad,17,4,2,A Nehra,S Aravind,bowled,
648026d390817dd7adc7470a,2017,Royal Challengers Bangalore,Sunrisers Hyderabad,18,5,2,B Kumar,TS Mills,caught,"[""DA Warner""]"
648026d390817dd7adc7470a,2017,Royal Challengers Bangalore,Sunrisers Hyderabad,19,4,2,BCJ Cutting,YS Chahal,run out,"[""CJ Jordan""]"
648026d3f789acc1f5f3d4ad,2017,Mumbai Indians,Rising Pune Supergiant,4,2,2,Imran Tahir,PA Patel,bowled,
648026d3f789acc1f5f3d4ad,2017,Mumbai Indians,Rising Pune Supergiant,6,3,2,Imran Tahir,RG Sharma,bowled,
648026d3f789acc1f5f3d4ad,2017,Mumbai Indians,Rising Pune Supergiant,6,5,2,Imran Tahir,JC Buttler,lbw,
648026d3f789acc1f5f3d4ad,2017,Mumbai Indians,Rising Pune Supergiant,11,1,2,R Bhatia,AT Rayudu,caught and bowled,
648026d3f789acc1f5f3d4ad,2017,Mumbai Indians,Rising Pune Supergiant,13,2,2,R Bhatia,KH Pandya,caught,"[""MS Dhoni""]"
648026d3f789acc1f5f3d4ad,2017,Mumbai Indians,Rising Pune Supergiant,15,3,2,A Zampa,N Rana,caught,"[""R Bhatia""]"
648026d3f789acc1f5f3d4ad,2017,Mumbai Indians,Rising Pune Supergiant,18,2,2,BA Stokes,KA Pollard,caught,"[""MA Agarwal""]"
648026d3f789acc1f5f3d4ad,2017,Mumbai Indians,Rising Pune Supergiant,19,6,2,AB Dinda,TG Southee,run out,"[""MS Dhoni"",""AB Dinda""]"
648026d3f789acc1f5f3d4ad,2017,Rising Pune Supergiant,Mumbai Indians,3,1,1,MJ McClenaghan,MA Agarwal,caught,"[""RG Sharma""]"
648026d3f789acc1f5f3d4ad,2017,Rising Pune Supergiant,Mumbai Indians,10,1,1,TG Southee,AM Rahane,caught,"[""N Rana""]"
648026d3f789acc1f5f3d4ad,2017,Rising Pune Supergiant,Mumbai Indians,15,2,1,HH Pandya,BA Stokes,caught,"[""TG Southee""]"
648026d3a7d05cd7951e9234,2017,Gujarat Lions,Kolkata Knight Riders,3,1,1,PP Chawla,JJ Roy,caught,"[""YK Pathan""]"
648026d3a7d05cd7951e9234,2017,Gujarat Lions,Kolkata Knight Riders,8,1,1,Kuldeep Yadav,BB McCullum,lbw,
648026d3a7d05cd7951e9234,2017,Gujarat Lions,Kolkata Knight Riders,10,2,1,Kuldeep Yadav,AJ Finch,caught,"[""SA Yadav""]"
648026d3a7d05cd7951e9234,2017,Gujarat Lions,Kolkata Knight Riders,19,5,1,TA Boult,KD Karthik,caught,"[""SA Yadav""]"
648026d39fe9c9cccf70d924,2017,Rising Pune Supergiant,Kings XI Punjab,0,5,2,Sandeep Sharma,MA Agarwal,bowled,
648026d39fe9c9cccf70d924,2017,Rising Pune Supergiant,Kings XI Punjab,6,2,2,T Natarajan,AM Rahane,caught,"[""MP Stoinis""]"
648026d39fe9c9cccf70d924,2017,Rising Pune Supergiant,Kings XI Punjab,8,2,2,MP Stoinis,SPD Smith,caught,"[""M Vohra""]"
648026d39fe9c9cccf70d924,2017,Rising Pune Supergiant,Kings XI Punjab,11,2,2,Swapnil Singh,MS Dhoni,caught and bowled,
648026d39fe9c9cccf70d924,2017,Rising Pune Supergiant,Kings XI Punjab,17,5,2,AR Patel,BA Stokes,caught and bowled,
648026d39fe9c9cccf70d924,2017,Rising Pune Supergiant,Kings XI Punjab,19,5,2,Sandeep Sharma,DT Christian,caught,"[""GJ Maxwell""]"
648026d39fe9c9cccf70d924,2017,Kings XI Punjab,Rising Pune Supergiant,2,5,1,AB Dinda,M Vohra,caught,"[""MK Tiwary""]"
648026d39fe9c9cccf70d924,2017,Kings XI Punjab,Rising Pune Supergiant,5,2,1,Imran Tahir,WP Saha,bowled,
648026d39fe9c9cccf70d924,2017,Kings XI Punjab,Rising Pune Supergiant,10,6,1,RD Chahar,HM Amla,caught,"[""BA Stokes""]"
648026d39fe9c9cccf70d924,2017,Kings XI Punjab,Rising Pune Supergiant,11,1,1,Imran Tahir,AR Patel,caught and bowled,
648026d377ee4f6f9399f348,2017,Royal Challengers Bangalore,Delhi Daredevils,3,2,1,CH Morris,CH Gayle,caught,"[""SV Samson""]"
648026d377ee4f6f9399f348,2017,Royal Challengers Bangalore,Delhi Daredevils,5,5,1,PJ Cummins,Mandeep Singh,bowled,
648026d377ee4f6f9399f348,2017,Royal Challengers Bangalore,Delhi Daredevils,8,4,1,S Nadeem,SR Watson,stumped,"[""RR Pant""]"
648026d377ee4f6f9399f348,2017,Royal Challengers Bangalore,Delhi Daredevils,14,7,1,Z Khan,STR Binny,caught,"[""SW Billings""]"
648026d377ee4f6f9399f348,2017,Royal Challengers Bangalore,Delhi Daredevils,16,4,1,Z Khan,Vishnu Vinod,run out,
648026d377ee4f6f9399f348,2017,Royal Challengers Bangalore,Delhi Daredevils,16,6,1,Z Khan,KM Jadhav,caught,"[""CH Morris""]"
648026d377ee4f6f9399f348,2017,Royal Challengers Bangalore,Delhi Daredevils,19,3,1,CH Morris,P Negi,bowled,
648026d377ee4f6f9399f348,2017,Royal Challengers Bangalore,Delhi Daredevils,19,6,1,CH Morris,TS Mills,bowled,
648026d377ee4f6f9399f348,2017,Delhi Daredevils,Royal Challengers Bangalore,4,4,2,TS Mills,AP Tare,bowled,
648026d377ee4f6f9399f348,2017,Delhi Daredevils,Royal Challengers Bangalore,5,3,2,B Stanlake,KK Nair,bowled,
648026d377ee4f6f9399f348,2017,Delhi Daredevils,Royal Challengers Bangalore,7,3,2,Iqbal Abdulla,SW Billings,caught,"[""B Stanlake""]"
648026d377ee4f6f9399f348,2017,Delhi Daredevils,Royal Challengers Bangalore,10,5,2,B Stanlake,SV Samson,caught,"[""STR Binny""]"
648026d377ee4f6f9399f348,2017,Delhi Daredevils,Royal Challengers Bangalore,12,7,2,Iqbal Abdulla,CH Morris,lbw,
648026d377ee4f6f9399f348,2017,Delhi Daredevils,Royal Challengers Bangalore,14,5,2,YS Chahal,CR Brathwaite,bowled,
648026d377ee4f6f9399f348,2017,Delhi Daredevils,Royal Challengers Bangalore,16,2,2,SR Watson,PJ Cummins,bowled,
