matchID,season,battingTeam,bowlingTeam,innings,firstBatter,secondBatter,partnership,totalBallsFaced,fours,sixes,wicket,firstBatterRuns,firstBatterBallsFaced,firstBatterFours,firstBatterSixes,secondBatterRuns,secondBatterBallsFaced,secondBatterFours,secondBatterSixes
6480bba3fc9599eca1b87a77,2016,,,1,AB de Villiers,V Kohli,229,97,14,20,1,129,52,10,12,97,45,4,8
6480bba2d313234709068efb,2015,,,2,AB de Villiers,V Kohli,215,102,24,8,0,133,59,19,4,76,43,5,4
6480bb9927b39ebcfd7820b0,2022,,,1,KL Rahul,Q de Kock,210,121,13,14,0,68,51,3,4,140,70,10,10
6480bb9e565ef5f11c5c8f55,2011,,,1,AC Gilchrist,SE Marsh,206,98,15,14,1,105,49,8,9,79,49,7,5
6480bb9f022f0e8cd6e9cdeb,2012,,,2,CH Gayle,V Kohli,204,108,16,14,0,127,55,7,13,73,53,9,1
6480bb9e38040b358f5a34d8,2012,,,2,DA Warner,NV Ojha,189,100,12,12,0,109,54,10,7,64,46,2,5
6480bb95b84f125c6212267a,2019,,,1,DA Warner,JM Bairstow,185,98,15,10,1,70,42,3,3,114,56,12,7
6480bb93894ff5c944493650,2017,,,2,CA Lynn,G Gambhir,184,89,18,8,0,93,41,6,8,76,48,12,0
6480bb96e834e1c16b33f325,2020/21,,,1,KL Rahul,MA Agarwal,183,100,17,8,1,68,50,7,1,106,50,10,7
6480bb98825d8ceb716e3f3c,2022,,,1,DP Conway,RD Gaikwad,182,107,12,10,1,74,50,6,4,99,57,6,6
6480bb96e29253678ca02869,2020/21,,,2,F du Plessis,SR Watson,181,106,22,4,0,87,53,11,1,83,53,11,3
6480bb97493381c4d7dc7bf4,2021,,,2,D Padikkal,V Kohli,181,99,17,9,0,101,52,11,6,72,47,6,3
6480bb95481ab7c06b86419b,2018,,,2,KS Williamson,S Dhawan,176,102,17,6,0,83,53,8,2,91,49,9,4
6480bb9affc08d6384ac3992,2023,,,2,F du Plessis,V Kohli,172,108,18,6,1,67,45,6,2,100,63,12,4
6480bb9f3ca20834ecc7607a,2012,,,2,HH Gibbs,RG Sharma,167,106,16,7,0,53,46,4,2,109,60,12,5
6480bba0b5eabeb0a150b93f,2013,,,1,CH Gayle,TM Dilshan,167,84,14,13,1,127,48,9,13,33,36,5,0
6480bb988545a7776b8c9306,2022,,,1,RV Uthappa,S Dube,165,74,8,14,1,73,34,3,8,80,40,5,6
6480bb9f8ab73cf7c77cef03,2012,,,2,DR Smith,SR Tendulkar,163,109,16,3,0,87,58,10,3,58,51,6,0
6480bb97fb920d483d0da2af,2020/21,,,1,DA Warner,JM Bairstow,160,92,12,7,1,52,40,5,1,97,52,7,6
6480bb9e300070746cc2eb67,2011,,,1,M Vijay,MEK Hussey,159,89,7,9,1,89,44,4,6,63,45,3,3
6480bb947a7076697fc0b339,2017,,,2,G Gambhir,RV Uthappa,158,85,13,7,1,60,38,6,1,87,47,7,6
6480bba2ab35be3ffcfa932a,2016,,,1,AB de Villiers,V Kohli,157,87,13,9,1,82,40,7,6,71,47,6,3
6480bb9ed6aefcc9cd13d851,2012,,,1,CL White,KC Sangakkara,157,87,13,6,1,65,35,3,4,82,52,10,2
6480bba21bbf76a62abea528,2016,,,2,AB de Villiers,V Kohli,155,96,11,5,1,83,45,6,4,61,51,5,1
6480bb9aa030c8ebcbcc19c9,2007/08,,,2,AC Gilchrist,VVS Laxman,155,73,13,11,0,109,47,9,10,37,26,4,1
6480bb98b00f767943bb8415,2022,,,1,D Padikkal,JC Buttler,155,91,15,10,1,54,35,7,2,99,56,8,8
6480bba163bd0c619365a16b,2015,,,1,JP Duminy,SS Iyer,154,97,10,10,1,66,42,3,5,82,55,7,5
